Computer	RegKey	DisplayName	DisplayVersion	Publisher	QuietDisplayName	InstallDate	InstallSource
PCNAME	M2698023	Microsoft .NET Framework 1.1 Security Update (KB2698023)					
PCNAME	M2742597	Microsoft .NET Framework 1.1 Security Update (KB2742597)					
PCNAME	M979906	Microsoft .NET Framework 1.1 Security Update (KB979906)					
PCNAME	Microsoft .NET Framework 1.1  (1033)	Microsoft .NET Framework 1.1					
PCNAME	Microsoft .NET Framework 3.5 SP1	Microsoft .NET Framework 3.5 SP1		Microsoft Corporation			
PCNAME	Microsoft .NET Framework 4 Client Profile	Microsoft .NET Framework 4 Client Profile	4.0.30319	Microsoft Corporation			
PCNAME	Microsoft .NET Framework 4 Extended	Microsoft .NET Framework 4 Extended	4.0.30319	Microsoft Corporation			
PCNAME	Microsoft Firewall Client Update KB929556	Microsoft Firewall Client Update KB929556	4.0.3442	Microsoft Corporation			
PCNAME	MSCompPackV1	Microsoft Compression Client Pack 1.0 for Windows XP	1	Microsoft Corporation		20100906	
PCNAME	NLSDownlevelMapping	Microsoft National Language Support Downlevel APIs		Microsoft Corporation		20100906	
PCNAME	Oracle	Oracle Client	11G R2 with ODAC Components	IT Department			
PCNAME	WGA	Windows Genuine Advantage Validation Tool (KB892130)	1.7.0069.2	Microsoft Corporation			
PCNAME	Windows Media Format Runtime	Windows Media Format 11 runtime					
PCNAME	Windows Media Player	Windows Media Player 11					
PCNAME	WMFDist11	Windows Media Format 11 runtime		Microsoft Corporation		20100906	
PCNAME	wmp11	Windows Media Player 11		Microsoft Corporation		20100906	
PCNAME	Wudf01000	Microsoft User-Mode Driver Framework Feature Pack 1.0		Microsoft Corporation		20100906	
PCNAME	XpsEPSC	XML Paper Specification Shared Components Pack 1.0		Microsoft Corporation		20100906	
PCNAME	{00000038-E5E0-11DF-9952-0417A1A01290}	Netop Remote Control Guest	9.52.10305	Netop Business Solutions A/S		20110401	
PCNAME	{07FD9D5A-50DE-4421-AF8C-4D11309CA70A}	DisplayLink Graphics	7.0.41419.0	DisplayLink Corp.		20130321	
PCNAME	{0A0CADCF-78DA-33C4-A350-CD51849B9702}	Microsoft .NET Framework 4 Extended	4.0.30319	Microsoft Corporation		20130114	
PCNAME	{0A0CADCF-78DA-33C4-A350-CD51849B9702}.KB2162169	{0A0CADCF-78DA-33C4-A350-CD51849B9702}.KB2162169					KB2162169
PCNAME	{0A0CADCF-78DA-33C4-A350-CD51849B9702}.KB2416472	Security Update for Microsoft .NET Framework 4 Extended (KB2416472)	1	Microsoft Corporation			KB2416472
PCNAME	{0A0CADCF-78DA-33C4-A350-CD51849B9702}.KB2468871	{0A0CADCF-78DA-33C4-A350-CD51849B9702}.KB2468871					KB2468871
