MAnwf001;DateLock Wed 24/05/2006  ;MASLS926;frriq;ma.indosuez;00-00-00-00-00-00;10.136.44.77;5.0;EVOW6000W2KV2.31
MAnwf001;DateLock Vie 26/05/2006  ;masls928;isort;ma.indosuez;00-00-00-00-00-00;10.136.44.79;5.0;AP550W2KV2.31
MAnwf001;DateLock Mi‚ 05/24/2006  ;MASLS932;jaenr;ma.indosuez;00-00-00-00-00-00;10.136.44.83;5.0;EVOW6000W2KV2.31
MAnwf001;DateLock Vie 26/05/2006  ;masls933;rtmaa;ma.indosuez;00-00-00-00-00-00;10.136.44.84;5.0;EVOX62KW2KV2.41
MAnwf001;DateLock Vie 26/05/2006  ;masls934;bemor;ma.indosuez;00-00-00-00-00-00;10.136.44.54;5.0;EVOX62KW2KV2.41
MAnwf001;DateLock vie 26/05/2006  ;masls936;jubar;ma.indosuez;00-00-00-00-00-00;10.136.44.87;5.0;AP550W2KV2.31
MAnwf001;DateLock jue 25/05/2006  ;masls938;jcfel;ma.indosuez;00-00-00-00-00-00;10.136.44.93;5.0;AP550W2KV2.31
MAnwf001;DateLock Lun 29/05/2006  ;masls940;grnor;ma.indosuez;00-00-00-00-00-00;10.136.44.109;5.0;EVOX62KW2KV2.41
MAnwf001;DateLock Vie 26/05/2006  ;masls943;rtmad;ma.indosuez;00-00-00-00-00-00;10.136.44.113;5.0;EVOX62KW2KV2.41
MAnwf001;DateLock Vie 26/05/2006  ;matcc901;sn_japla;ma.indosuez;00-00-00-00-00-00;10.136.44.99;5.0;EVOX62KW2KV2.41
MAnwf001;DateLock Vie 26/05/2006  ;matcc902;sn_febod;ma.indosuez;00-00-00-00-00-00;10.136.44.100;5.0;EVOX62KW2KV2.41
MAnwf001;DateLock Vie 26/05/2006  ;matcc903;sn_jusot;ma.indosuez;00-00-00-00-00-00;10.136.44.103;5.0;EVOX62KW2KV2.41
MAnwf001;DateLock Vie 26/05/2006  ;matcc904;sn_jumar;ma.indosuez;00-00-00-00-00-00;10.136.44.104;5.0;EVOX62KW2KV2.41
MAnwf001;DateLock Vie 26/05/2006  ;MATRD907;febod;ma.indosuez;00-00-00-00-00-00;10.136.44.60;5.0;EVOW6000W2KV2.31
MInwf001;DateLock gio 25/05/2006  ;miblg902;bg_dalon;mi.indosuez;00-00-00-00-00-00;10.136.56.58;5.0;AP550W2KV2.32
MInwf001;DateLock ven 26/05/2006  ;mitcc901;sn_gioff;mi.indosuez;00-00-00-00-00-00;10.136.56.101;5.0;EVOX62KW2KV2.41
MInwf001;DateLock ven 26/05/2006  ;mitcc902;sn_paton;mi.indosuez;00-00-00-00-00-00;10.136.56.102;5.0;EVOX62KW2KV2.41
MInwf001;DateLock ven 26/05/2006  ;mitcc903;sn_mabat;mi.indosuez;00-00-00-00-00-00;10.136.56.103;5.0;EVOX62KW2KV2.41
MInwf001;DateLock ven 26/05/2006  ;mitcc904;sn_andur;mi.indosuez;00-00-00-00-00-00;10.136.56.104;5.0;EVOX62KW2KV2.41
MInwf001;DateLock ven 26/05/2006  ;MIWKS902;raara;mi.indosuez;00-00-00-00-00-00;10.136.56.12;5.0;EVOX6000W2Kv2.32
MInwf001;DateLock ven 26/05/2006  ;MIWKS904;gioff;mi.indosuez;00-00-00-00-00-00;10.136.56.14;5.0;EVOX6000W2Kv2.32
MInwf001;DateLock ven 26/05/2006  ;MIWKS905;stmac;mi.indosuez;00-00-00-00-00-00;10.136.56.15;5.0;EVOX6000W2Kv2.32
MInwf001;DateLock ven 26/05/2006  ;miwks906;mabra;mi.indosuez;00-00-00-00-00-00;10.136.56.16;5.0;EVOX6000W2Kv2.32
MInwf001;DateLock ven 26/05/2006  ;MIWKS907;mafer;mi.indosuez;00-00-00-00-00-00;10.136.56.17;5.0;EVOX6000W2Kv2.32
MInwf001;DateLock ven 26/05/2006  ;MIWKS908;makan;mi.indosuez;00-00-00-00-00-00;10.136.56.18;5.0;EVOX6000W2Kv2.32
MInwf001;DateLock gio 05/25/2006  ;MIWKS909;romei;mi.indosuez;00-00-00-00-00-00;10.136.56.19;5.0;EVOX6000W2Kv2.32
MInwf001;DateLock ven 26/05/2006  ;MIWKS912;paton;mi.indosuez;00-00-00-00-00-00;10.136.56.22;5.0;EVOX6000W2Kv2.32
MInwf001;DateLock ven 26/05/2006  ;MIWKS913;crman;mi.indosuez;00-00-00-00-00-00;10.136.56.23;5.0;EVOX6000W2Kv2.32
MInwf001;DateLock gio 25/05/2006  ;MIWKS914;super;mi.indosuez;00-00-00-00-00-00;10.136.56.24;5.0;EVOX6000W2Kv2.32
