File Name	Sample ID	Acquisition Date	Gate	Gated Events	Total Events	X Parameter	Y Parameter	Quad Location	Tube	Panel	Label	Events	% Gated	% Total	X Geo Mean	Y Geo Mean	Median	
Data.0405.012	B6.SP-CD4/CD25	05-Apr-06	G1	10009	24968	FL1-H CD4-FITC (Log)	FL2-H CD25-PE (Log)	12, 20	tube #12	Krishna-1	LL	8018	80.11	.	3.02	3.43	.	
Data.0405.012	B6.SP-CD4/CD25	05-Apr-06	G1	10009	24968	FL1-H CD4-FITC (Log)	FL2-H CD25-PE (Log)	12, 20	tube #12	Krishna-1	LR	1733	17.31	.	76.41	3.91	.	
.	B6.SP-CD4/CD25	.	.	.	.	.	.	.	tube #12	.	All	.	100.00	40.09	5.58	.	3.49	
.	B6.SP-CD4/CD25	.	.	.	.	.	.	.	tube #12	.	M1	.	81.52	32.68	3.05	.	3.00	
.	B6.SP-CD4/CD25	.	.	.	.	.	.	.	tube #12	.	M2	.	18.30	7.34	82.24	.	88.17	
.	B6.SP-CD4/CD25	.	.	.	.	.	.	.	tube #12	.	All	.	100.00	40.09	3.77	.	3.72	
.	B6.SP-CD4/CD25	.	.	.	.	.	.	.	tube #12	.	M1	.	93.63	37.53	3.62	.	3.72	
.	B6.SP-CD4/CD25	.	.	.	.	.	.	.	tube #12	.	M2	.	3.11	1.25	44.50	.	36.85	
Data.0405.013	DBA.SP-CD3/CD4	05-Apr-06	No Gate	17496	17496	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #5	Krishna-1 copy	R1	10028	57.32	.	461.30	237.59	.	
Data.0405.013	DBA.SP-CD3/CD4	05-Apr-06	G1	10028	17496	FL1-H CD3-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #5	Krishna-1 copy	UL	312	3.11	.	4.82	71.93	.	
Data.0405.013	DBA.SP-CD3/CD4	05-Apr-06	G1	10028	17496	FL1-H CD3-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #5	Krishna-1 copy	UR	1416	14.12	.	121.65	901.89	.	
Data.0405.013	DBA.SP-CD3/CD4	05-Apr-06	G1	10028	17496	FL1-H CD3-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #5	Krishna-1 copy	LL	7545	75.24	.	3.24	4.81	.	
Data.0405.013	DBA.SP-CD3/CD4	05-Apr-06	G1	10028	17496	FL1-H CD3-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #5	Krishna-1 copy	LR	755	7.53	.	84.13	4.94	.	
.	DBA.SP-CD3/CD4	.	.	.	.	.	.	.	tube #5	.	All	.	100.00	57.32	6.99	.	3.89	
.	DBA.SP-CD3/CD4	.	.	.	.	.	.	.	tube #5	.	M1	.	78.78	45.15	3.32	.	3.31	
.	DBA.SP-CD3/CD4	.	.	.	.	.	.	.	tube #5	.	M2	.	21.11	12.10	112.95	.	124.09	
.	DBA.SP-CD3/CD4	.	.	.	.	.	.	.	tube #5	.	All	.	100.00	57.32	10.98	.	5.83	
.	DBA.SP-CD3/CD4	.	.	.	.	.	.	.	tube #5	.	M1	.	79.90	45.79	4.79	.	5.00	
.	DBA.SP-CD3/CD4	.	.	.	.	.	.	.	tube #5	.	M2	.	18.55	10.63	446.74	.	905.80	
Data.0405.014	DBA.SP-CD8/CD4	05-Apr-06	No Gate	17669	17669	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #6	Krishna-1 copy	R1	10019	56.70	.	473.11	236.27	.	
Data.0405.014	DBA.SP-CD8/CD4	05-Apr-06	G1	10019	17669	FL1-H CD8-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #6	Krishna-1 copy	UL	1797	17.94	.	2.87	665.03	.	
Data.0405.014	DBA.SP-CD8/CD4	05-Apr-06	G1	10019	17669	FL1-H CD8-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #6	Krishna-1 copy	UR	63	0.63	.	42.74	180.02	.	
Data.0405.014	DBA.SP-CD8/CD4	05-Apr-06	G1	10019	17669	FL1-H CD8-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #6	Krishna-1 copy	LL	7573	75.59	.	2.86	4.70	.	
Data.0405.014	DBA.SP-CD8/CD4	05-Apr-06	G1	10019	17669	FL1-H CD8-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #6	Krishna-1 copy	LR	586	5.85	.	148.81	3.85	.	
.	DBA.SP-CD8/CD4	.	.	.	.	.	.	.	tube #6	.	All	.	100.00	56.70	3.66	.	3.00	
.	DBA.SP-CD8/CD4	.	.	.	.	.	.	.	tube #6	.	M1	.	93.78	53.18	2.87	.	2.86	
.	DBA.SP-CD8/CD4	.	.	.	.	.	.	.	tube #6	.	M2	.	6.15	3.49	149.33	.	201.69	
.	DBA.SP-CD8/CD4	.	.	.	.	.	.	.	tube #6	.	All	.	100.00	56.70	11.55	.	5.73	
.	DBA.SP-CD8/CD4	.	.	.	.	.	.	.	tube #6	.	M1	.	78.22	44.35	4.66	.	4.83	
.	DBA.SP-CD8/CD4	.	.	.	.	.	.	.	tube #6	.	M2	.	19.84	11.25	504.91	.	934.77	
Data.0405.015	DBA.SP-B220/CD4	05-Apr-06	No Gate	20855	20855	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #7	Krishna-1 copy	R1	10009	47.99	.	479.80	236.70	.	
Data.0405.015	DBA.SP-B220/CD4	05-Apr-06	G1	10009	20855	FL1-H B220-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #7	Krishna-1 copy	UL	1898	18.96	.	4.30	842.52	.	
Data.0405.015	DBA.SP-B220/CD4	05-Apr-06	G1	10009	20855	FL1-H B220-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #7	Krishna-1 copy	UR	275	2.75	.	94.23	232.41	.	
Data.0405.015	DBA.SP-B220/CD4	05-Apr-06	G1	10009	20855	FL1-H B220-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #7	Krishna-1 copy	LL	1027	10.26	.	4.67	5.08	.	
